Wall time,Step,Value
1720717951.0871582,13400000,1742.0689697265625
1720718045.6099265,13500000,1762.2142333984375
1720718133.7247262,13600000,1808.0
1720718219.7557912,13700000,1825.4814453125
1720718309.8199353,13800000,1803.3035888671875
1720718396.565741,13900000,1749.4385986328125
1720718485.3109362,14000000,1700.11865234375
1720718566.554392,14100000,1801.6363525390625
1720718652.3217084,14200000,1810.0
1720718743.210444,14300000,1780.403564453125
1720718831.337281,14400000,1770.267822265625
1720718918.7282484,14500000,1861.370361328125
1720719005.9463437,14600000,1835.9630126953125
1720719094.8807323,14700000,1758.3333740234375
1720719183.0700562,14800000,1862.9259033203125
1720719276.4912572,14900000,1802.4310302734375
1720719366.7138634,15000000,1856.1153564453125
1720719470.1423938,15100000,1775.614013671875
1720719574.3403597,15200000,1878.4150390625
